shift_id,start1,end1,start2,end2,shift_time,shift_minute,shift_type,shift_type_id,t_0000,t_0030,t_0100,t_0130,t_0200,t_0230,t_0300,t_0330,t_0400,t_0430,t_0500,t_0530,t_0600,t_0630,t_0700,t_0730,t_0800,t_0830,t_0900,t_0930,t_1000,t_1030,t_1100,t_1130,t_1200,t_1230,t_1300,t_1330,t_1400,t_1430,t_1500,t_1530,t_1600,t_1630,t_1700,t_1730,t_1800,t_1830,t_1900,t_1930,t_2000,t_2030,t_2100,t_2130,t_2200,t_2230,t_2300,t_2330
81,12:00,16:30,17:30,21:00,12:00-16:30 17:30-21:00,480,中班,4,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,,,,,
82,12:00,17:00,18:00,21:00,12:00-17:00 18:00-21:00,480,中班,4,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,,,,,,
83,9:30,13:00,14:30,19:00,09:30-13:00 14:30-19:00,480,白班,2,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,,,,,,,,,,
84,9:30,13:00,15:00,19:30,09:30-13:00 15:00-19:30,480,白班,2,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,1,,,,,,,,,
85,8:30,12:30,14:00,18:30,08:30-12:30 14:00-18:30,510,白班,2,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,
86,9:00,12:30,13:30,18:00,09:00-12:30 13:30-18:00,480,白班,2,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
87,9:00,12:30,14:00,18:30,09:00-12:30 14:00-18:30,480,白班,2,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,
88,9:00,13:00,14:00,18:00,09:00-13:00 14:00-18:00,480,白班,2,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,,,,,,,,
89,9:00,13:00,14:00,18:30,09:00-13:00 14:00-18:30,510,白班,2,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,
90,9:00,13:00,14:30,18:30,09:00-13:00 14:30-18:30,480,白班,2,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,,,,,,,,,,,
91,9:00,13:00,14:30,19:00,09:00-13:00 14:30-19:00,510,白班,2,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,,,,,,,,,,
92,9:30,13:00,14:00,18:30,09:30-13:00 14:00-18:30,480,白班,2,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,
93,22:00,0:00:00,0:00,8:00,22:00-24:00 00:00-08:00,600,夜班,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
